FILENAME;\Hard Disk2\Result\ReHa_CatIB_HK_20220301_115319.csv
PROTOCOL;ReHa_CatIB_HK
FILE_VERSION;3.3;
DATE START;2022-03-01;11:53:03
DATE END;2022-03-01;11:53:03;;Last Reading;1;Timestamp;75516182                        
DEVICE;BL098-CX_349F39
USER;ReHa;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP_m2p-labs_FAT-SAT;1;20;1.00;100.00;283.00;;;SET TEMPERATURE [°C];25.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];4.00
;;;;;;;;;;;;SET EXP TIME [h];1193.0000

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
R;;;;1;0.00460;268.48;0.0;23.40;30.49;-0.01;0.00;test measure for referencing with gain 15 
C1;A01;X1;;1;0.00742;9.15;0.0;23.80;42.91;-0.01;0.00;
C1;A02;X2;;1;0.00811;10.05;0.0;23.90;48.83;-0.01;0.00;
C1;A03;X3;;1;0.00878;10.23;0.0;24.00;51.61;-0.01;0.00;
C1;A04;X4;;1;0.00940;9.93;0.0;24.10;54.20;-0.01;0.00;
C1;A05;X5;;1;0.01009;11.10;0.0;24.20;56.54;-0.01;0.00;
C1;A06;X6;;1;0.01072;9.88;0.0;24.40;58.74;-0.01;0.00;
C1;A07;X7;;1;0.01136;10.14;0.0;24.50;60.82;-0.01;0.00;
C1;A08;X8;;1;0.01210;10.41;0.0;24.60;64.21;-0.01;0.00;
C1;B08;X16;;1;0.01280;9.06;0.0;24.80;66.06;-0.01;0.00;
C1;B07;X15;;1;0.01341;11.67;0.0;24.90;67.68;-0.01;0.00;
C1;B06;X14;;1;0.01408;11.89;0.0;25.00;69.11;-0.01;0.00;
C1;B05;X13;;1;0.01471;11.24;0.0;25.20;70.34;-0.01;0.00;
C1;B04;X12;;1;0.01534;10.51;0.0;25.30;71.57;-0.01;0.00;
C1;B03;X11;;1;0.01600;10.80;0.0;25.40;72.74;-0.01;0.00;
C1;B02;X10;;1;0.01664;11.38;0.0;25.50;74.52;-0.01;0.00;
C1;B01;X9;;1;0.01726;10.03;0.0;25.70;75.67;-0.01;0.00;
C1;C01;X17;;1;0.01790;10.09;0.0;25.80;76.56;-0.01;0.00;
C1;C02;X18;;1;0.01853;10.06;0.0;25.90;77.34;-0.01;0.00;
C1;C03;X19;;1;0.01917;11.66;0.0;26.00;78.05;-0.01;0.00;
C1;C04;X20;;1;0.01982;10.76;0.0;26.20;78.70;-0.01;0.00;
