FILENAME;\Hard Disk2\Result\ReHa_CatIB_VK_20220221_210412.csv
PROTOCOL;ReHa_CatIB_VK
FILE_VERSION;3.3;
DATE START;2022-02-21;21:04:02
DATE END;2022-02-22;15:04:00;;Last Reading;270;Timestamp;101828600                      
DEVICE;BL098-CX_349F39
USER;ReHa;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP_m2p-labs_FAT-SAT;1;20;1.00;100.00;283.00;;;SET TEMPERATURE [°C];37.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];4.00
;;;;;;;;;;;;SET EXP TIME [h];1193.0000

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
R;;;;1;0.00432;285.25;0.0;20.70;27.34;-0.01;0.00;test measure for referencing with gain 15 
C1;A01;X1;;1;0.00697;10.23;0.0;21.00;32.91;-0.01;0.00;
C1;A02;X2;;1;0.00761;10.18;0.0;21.00;34.25;-0.01;0.00;
C1;A03;X3;;1;0.00832;10.72;0.0;21.10;35.50;-0.01;0.00;
C1;A04;X4;;1;0.00895;10.04;0.0;21.20;36.67;-0.01;0.00;
C1;A05;X5;;1;0.00958;10.48;0.0;21.30;37.77;-0.01;0.00;
C1;A06;X6;;1;0.01021;10.56;0.0;21.40;38.94;-0.01;0.00;
C1;A07;X7;;1;0.01088;11.11;0.0;21.50;39.91;-0.01;0.00;
C1;A08;X8;;1;0.01162;10.81;0.0;21.60;41.71;-0.01;0.00;
C1;B08;X16;;1;0.01233;10.29;0.0;21.70;42.57;-0.01;0.00;
C1;B07;X15;;1;0.01295;12.84;0.0;21.90;43.41;-0.01;0.00;
C1;B06;X14;;1;0.01357;10.53;0.0;22.00;44.12;-0.01;0.00;
C1;B05;X13;;1;0.01420;11.21;0.0;22.10;44.83;-0.01;0.00;
C1;B04;X12;;1;0.01484;11.06;0.0;22.20;45.55;-0.01;0.00;
C1;B03;X11;;1;0.01550;11.61;0.0;22.40;46.24;-0.01;0.00;
C1;B02;X10;;1;0.01626;10.82;0.0;22.50;47.35;-0.01;0.00;
C1;B01;X9;;1;0.01692;9.93;0.0;22.60;47.94;-0.01;0.00;
C1;C01;X17;;1;0.01762;10.85;0.0;22.80;48.40;-0.01;0.00;
C1;C02;X18;;1;0.01825;10.49;0.0;22.90;48.85;-0.01;0.00;
C1;C03;X19;;1;0.01887;11.40;0.0;23.10;50.21;-0.01;0.00;
C1;C04;X20;;1;0.01950;11.37;0.0;23.20;50.71;-0.01;0.00;
C1;C05;X21;;1;0.02024;11.91;0.0;23.40;51.31;-0.01;0.00;
C1;C06;X22;;1;0.02088;11.03;0.0;23.50;51.57;-0.01;0.00;
C1;C07;X23;;1;0.02153;12.34;0.0;23.70;51.83;-0.01;0.00;
C1;C08;X24;;1;0.02216;10.98;0.0;23.90;52.09;-0.01;0.00;
C1;D08;X32;;1;0.02282;11.63;0.0;24.00;52.29;-0.01;0.00;
C1;D07;X31;;1;0.02344;12.24;0.0;24.20;52.48;-0.01;0.00;
C1;D06;X30;;1;0.02411;12.61;0.0;24.40;52.68;-0.01;0.00;
C1;D05;X29;;1;0.02474;11.64;0.0;24.50;52.87;-0.01;0.00;
C1;D04;X28;;1;0.02537;11.98;0.0;24.70;53.00;-0.01;0.00;
C1;D03;X27;;1;0.02599;12.02;0.0;24.80;53.07;-0.01;0.00;
C1;D02;X26;;1;0.02663;10.86;0.0;25.00;53.06;-0.01;0.00;
C1;D01;X25;;1;0.02726;10.23;0.0;25.20;53.06;-0.01;0.00;
C1;E01;X33;;1;0.02791;10.25;0.0;25.40;53.06;-0.01;0.00;
C1;E02;X34;;1;0.02864;13.37;0.0;25.50;53.09;-0.01;0.00;
C1;E03;X35;;1;0.02928;12.69;0.0;25.70;52.95;-0.01;0.00;
C1;E04;X36;;1;0.02992;12.50;0.0;25.90;52.81;-0.01;0.00;
C1;E05;X37;;1;0.03054;12.39;0.0;26.00;52.80;-0.01;0.00;
C1;E06;X38;;1;0.03121;12.56;0.0;26.20;52.74;-0.01;0.00;
C1;E07;X39;;1;0.03183;12.45;0.0;26.30;52.61;-0.01;0.00;
C1;E08;X40;;1;0.03244;12.72;0.0;26.50;52.54;-0.01;0.00;
C1;F08;X48;;1;0.03325;11.07;0.0;26.70;52.52;-0.01;0.00;
C1;F07;X47;;1;0.03388;12.07;0.0;26.80;52.30;-0.01;0.00;
C1;F06;X46;;1;0.03449;13.49;0.0;27.00;52.16;-0.01;0.00;
C1;F05;X45;;1;0.03512;12.25;0.0;27.10;52.09;-0.01;0.00;
C1;F04;X44;;1;0.03576;13.02;0.0;27.20;52.02;-0.01;0.00;
C1;F03;X43;;1;0.03643;11.32;0.0;27.40;51.96;-0.01;0.00;
C1;F02;X42;;1;0.03706;11.12;0.0;27.50;51.83;-0.01;0.00;
