FILENAME;\Hard Disk2\Result\ReHa_CatIB_HK_20220315_112350.csv
PROTOCOL;ReHa_CatIB_HK
FILE_VERSION;3.3;
DATE START;2022-03-15;11:24:00
DATE END;2022-03-15;11:24:00;;Last Reading;1;Timestamp;69911539                        
DEVICE;BL098-CX_349F39
USER;ReHa;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP_m2p-labs_FAT-SAT;1;20;1.00;100.00;283.00;;;SET TEMPERATURE [°C];25.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];4.00
;;;;;;;;;;;;SET EXP TIME [h];1193.0000

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
R;;;;1;0.00418;269.15;0.0;22.90;39.37;-0.01;0.00;test measure for referencing with gain 15 
C1;A01;X1;;1;0.00694;8.81;0.0;23.20;50.18;-0.01;0.00;
C1;A02;X2;;1;0.00757;9.46;0.0;23.30;52.45;-0.01;0.00;
C1;A03;X3;;1;0.00827;9.61;0.0;23.40;55.18;-0.01;0.00;
C1;A04;X4;;1;0.00891;9.98;0.0;23.50;57.12;-0.01;0.00;
C1;A05;X5;;1;0.00954;9.47;0.0;23.70;59.00;-0.01;0.00;
C1;A06;X6;;1;0.01022;9.01;0.0;23.80;60.95;-0.01;0.00;
C1;A07;X7;;1;0.01088;9.70;0.0;23.90;63.79;-0.01;0.00;
C1;A08;X8;;1;0.01156;9.22;0.0;24.10;65.28;-0.01;0.00;
C1;B08;X16;;1;0.01221;9.43;0.0;24.20;66.58;-0.01;0.00;
C1;B07;X15;;1;0.01284;10.41;0.0;24.40;67.74;-0.01;0.00;
C1;B06;X14;;1;0.01346;9.97;0.0;24.50;68.91;-0.01;0.00;
C1;B05;X13;;1;0.01417;10.85;0.0;24.70;69.88;-0.01;0.00;
C1;B04;X12;;1;0.01491;10.79;0.0;24.80;71.63;-0.01;0.00;
C1;B03;X11;;1;0.01558;10.50;0.0;24.90;72.48;-0.01;0.00;
C1;B02;X10;;1;0.01621;10.12;0.0;25.10;73.19;-0.01;0.00;
C1;B01;X9;;1;0.01691;9.90;0.0;25.30;73.90;-0.01;0.00;
C1;C01;X17;;1;0.01758;9.91;0.0;25.40;74.55;-0.01;0.00;
C1;C02;X18;;1;0.01821;10.34;0.0;25.50;75.00;-0.01;0.00;
C1;C03;X19;;1;0.01898;11.37;0.0;25.70;76.11;-0.01;0.00;
C1;C04;X20;;1;0.01972;10.73;0.0;25.90;76.62;-0.01;0.00;
