FILENAME;\Hard Disk2\Result\ReHa_CatIB_HK_20220118_140214.csv
PROTOCOL;ReHa_CatIB_HK
FILE_VERSION;3.3;
DATE START;2022-01-18;14:02:03
DATE END;2022-01-21;14:02:02;;Last Reading;1080;Timestamp;99287478                     
DEVICE;BL098-CX_349F39
USER;ReHa;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP_m2p-labs_FAT-SAT;1;20;1.00;100.00;283.00;;;SET TEMPERATURE [°C];25.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];4.00
;;;;;;;;;;;;SET EXP TIME [h];1193.0000

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
R;;;;1;0.00486;276.85;0.0;21.00;40.17;-0.01;0.00;test measure for referencing with gain 15 
C1;A01;X1;;1;0.00764;8.86;0.0;21.20;48.65;-0.01;0.00;
C1;A02;X2;;1;0.00835;8.87;0.0;21.20;50.66;-0.01;0.00;
C1;A03;X3;;1;0.00899;10.16;0.0;21.20;52.62;-0.01;0.00;
C1;A04;X4;;1;0.00966;9.53;0.0;21.30;55.96;-0.01;0.00;
C1;A05;X5;;1;0.01030;9.83;0.0;21.40;57.78;-0.01;0.00;
C1;A06;X6;;1;0.01097;8.80;0.0;21.50;59.34;-0.01;0.00;
C1;A07;X7;;1;0.01170;9.53;0.0;21.50;60.70;-0.01;0.00;
C1;A08;X8;;1;0.01237;9.05;0.0;21.70;62.07;-0.01;0.00;
C1;B08;X16;;1;0.01312;9.60;0.0;21.70;64.42;-0.01;0.00;
C1;B07;X15;;1;0.01381;10.69;0.0;21.90;65.49;-0.01;0.00;
C1;B06;X14;;1;0.01448;10.05;0.0;22.00;66.41;-0.01;0.00;
C1;B05;X13;;1;0.01512;10.10;0.0;22.10;67.38;-0.01;0.00;
C1;B04;X12;;1;0.01591;9.98;0.0;22.20;68.29;-0.01;0.00;
C1;B03;X11;;1;0.01667;14.37;0.0;22.30;69.77;-0.01;0.00;
C1;B02;X10;;1;0.01728;10.52;0.0;22.50;70.49;-0.01;0.00;
C1;B01;X9;;1;0.01796;9.47;0.0;22.60;72.24;-0.01;0.00;
C1;C01;X17;;1;0.01864;9.44;0.0;22.70;72.89;-0.01;0.00;
C1;C02;X18;;1;0.01928;10.30;0.0;22.90;73.41;-0.01;0.00;
C1;C03;X19;;1;0.02000;11.91;0.0;23.00;74.38;-0.01;0.00;
C1;C04;X20;;1;0.02070;10.96;0.0;23.10;74.90;-0.01;0.00;
