FILENAME;\Hard Disk2\Result\ReHa_CatIB_VK_20220228_173030.csv
PROTOCOL;ReHa_CatIB_VK
FILE_VERSION;3.3;
DATE START;2022-02-28;17:30:04
DATE END;2022-03-01;11:30:02;;Last Reading;270;Timestamp;9343620                      
DEVICE;BL098-CX_349F39
USER;ReHa;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP_m2p-labs_FAT-SAT;1;20;1.00;100.00;283.00;;;SET TEMPERATURE [°C];37.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];4.00
;;;;;;;;;;;;SET EXP TIME [h];1193.0000

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
R;;;;1;0.00541;280.62;0.0;20.50;27.26;-0.01;0.00;test measure for referencing with gain 15 
C1;A01;X1;;1;0.00811;10.60;0.0;20.70;31.65;-0.01;0.00;
C1;A02;X2;;1;0.00874;9.58;0.0;20.70;34.24;-0.01;0.00;
C1;A03;X3;;1;0.00948;10.33;0.0;20.80;35.55;-0.01;0.00;
C1;A04;X4;;1;0.01012;10.31;0.0;20.90;36.72;-0.01;0.00;
C1;A05;X5;;1;0.01080;10.66;0.0;21.00;37.82;-0.01;0.00;
C1;A06;X6;;1;0.01143;10.05;0.0;21.00;38.93;-0.01;0.00;
C1;A07;X7;;1;0.01206;11.05;0.0;21.20;39.96;-0.01;0.00;
C1;A08;X8;;1;0.01269;9.63;0.0;21.20;40.92;-0.01;0.00;
C1;B08;X16;;1;0.01346;10.46;0.0;21.40;42.62;-0.01;0.00;
C1;B07;X15;;1;0.01415;10.97;0.0;21.50;43.39;-0.01;0.00;
C1;B06;X14;;1;0.01479;10.47;0.0;21.70;44.11;-0.01;0.00;
C1;B05;X13;;1;0.01542;10.65;0.0;21.70;44.82;-0.01;0.00;
C1;B04;X12;;1;0.01605;10.33;0.0;21.90;45.47;-0.01;0.00;
C1;B03;X11;;1;0.01673;11.65;0.0;22.00;46.41;-0.01;0.00;
C1;B02;X10;;1;0.01734;9.63;0.0;22.20;47.06;-0.01;0.00;
C1;B01;X9;;1;0.01810;9.53;0.0;22.40;47.61;-0.01;0.00;
C1;C01;X17;;1;0.01874;9.74;0.0;22.50;48.00;-0.01;0.00;
C1;C02;X18;;1;0.01943;10.07;0.0;22.60;48.45;-0.01;0.00;
C1;C03;X19;;1;0.02005;11.04;0.0;22.80;48.84;-0.01;0.00;
C1;C04;X20;;1;0.02067;11.40;0.0;22.90;49.23;-0.01;0.00;
C1;C05;X21;;1;0.02130;11.35;0.0;23.10;49.60;-0.01;0.00;
C1;C06;X22;;1;0.02205;11.20;0.0;23.30;50.14;-0.01;0.00;
C1;C07;X23;;1;0.02268;11.53;0.0;23.50;50.40;-0.01;0.00;
C1;C08;X24;;1;0.02336;11.07;0.0;23.60;50.59;-0.01;0.00;
C1;D08;X32;;1;0.02402;11.54;0.0;23.80;50.78;-0.01;0.00;
C1;D07;X31;;1;0.02463;13.07;0.0;23.90;50.98;-0.01;0.00;
C1;D06;X30;;1;0.02526;11.39;0.0;24.10;51.75;-0.01;0.00;
C1;D05;X29;;1;0.02593;10.96;0.0;24.20;52.08;-0.01;0.00;
C1;D04;X28;;1;0.02666;11.09;0.0;24.40;52.21;-0.01;0.00;
C1;D03;X27;;1;0.02732;11.75;0.0;24.60;52.27;-0.01;0.00;
C1;D02;X26;;1;0.02795;10.40;0.0;24.70;52.34;-0.01;0.00;
C1;D01;X25;;1;0.02858;9.40;0.0;24.90;52.47;-0.01;0.00;
C1;E01;X33;;1;0.02924;10.21;0.0;25.00;52.53;-0.01;0.00;
C1;E02;X34;;1;0.02987;11.43;0.0;25.20;52.73;-0.01;0.00;
C1;E03;X35;;1;0.03056;11.50;0.0;25.40;52.73;-0.01;0.00;
C1;E04;X36;;1;0.03123;11.72;0.0;25.50;52.79;-0.01;0.00;
C1;E05;X37;;1;0.03191;11.08;0.0;25.60;52.85;-0.01;0.00;
C1;E06;X38;;1;0.03252;11.82;0.0;25.70;52.92;-0.01;0.00;
C1;E07;X39;;1;0.03315;11.99;0.0;25.90;52.99;-0.01;0.00;
C1;E08;X40;;1;0.03379;13.28;0.0;26.00;52.98;-0.01;0.00;
C1;F08;X48;;1;0.03452;9.78;0.0;26.20;53.02;-0.01;0.00;
C1;F07;X47;;1;0.03515;11.41;0.0;26.30;52.99;-0.01;0.00;
C1;F06;X46;;1;0.03578;10.85;0.0;26.40;52.92;-0.01;0.00;
C1;F05;X45;;1;0.03642;11.53;0.0;26.50;52.92;-0.01;0.00;
C1;F04;X44;;1;0.03709;11.56;0.0;26.70;52.92;-0.01;0.00;
C1;F03;X43;;1;0.03772;10.64;0.0;26.80;52.92;-0.01;0.00;
C1;F02;X42;;1;0.03833;10.20;0.0;26.90;52.92;-0.01;0.00;
