FILENAME;\Hard Disk2\Result\ReHa_CatIB_VK_20220117_175955.csv
PROTOCOL;ReHa_CatIB_VK
FILE_VERSION;3.3;
DATE START;2022-01-17;18:00:02
DATE END;2022-01-17;18:00:02;;Last Reading;1;Timestamp;27151587                        
DEVICE;BL098-CX_349F39
USER;ReHa;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP_m2p-labs_FAT-SAT;1;20;1.00;100.00;283.00;;;SET TEMPERATURE [°C];37.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];4.00
;;;;;;;;;;;;SET EXP TIME [h];1193.0000

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
R;;;;1;0.00484;285.36;0.0;20.00;49.75;-0.01;0.00;test measure for referencing with gain 15 
C1;A01;X1;;1;0.00794;11.32;0.0;20.30;56.27;-0.01;0.00;
C1;A02;X2;;1;0.00865;10.21;0.0;20.40;57.13;-0.01;0.00;
C1;A03;X3;;1;0.00935;10.28;0.0;20.40;59.46;-0.01;0.00;
C1;A04;X4;;1;0.01002;10.15;0.0;20.50;60.56;-0.01;0.00;
C1;A05;X5;;1;0.01065;10.26;0.0;20.60;62.05;-0.01;0.00;
C1;A06;X6;;1;0.01132;9.88;0.0;20.70;63.02;-0.01;0.00;
C1;A07;X7;;1;0.01206;11.19;0.0;20.90;64.77;-0.01;0.00;
C1;A08;X8;;1;0.01271;11.23;0.0;21.00;65.55;-0.01;0.00;
C1;B08;X16;;1;0.01340;10.21;0.0;21.10;66.27;-0.01;0.00;
C1;B07;X15;;1;0.01408;12.43;0.0;21.20;66.91;-0.01;0.00;
C1;B06;X14;;1;0.01477;10.99;0.0;21.40;67.50;-0.01;0.00;
C1;B05;X13;;1;0.01548;10.85;0.0;21.50;68.46;-0.01;0.00;
C1;B04;X12;;1;0.01623;10.76;0.0;21.70;68.99;-0.01;0.00;
C1;B03;X11;;1;0.01693;10.77;0.0;21.80;69.37;-0.01;0.00;
C1;B02;X10;;1;0.01760;10.33;0.0;22.00;69.76;-0.01;0.00;
C1;B01;X9;;1;0.01824;10.20;0.0;22.10;70.12;-0.01;0.00;
C1;C01;X17;;1;0.01891;10.28;0.0;22.30;70.60;-0.01;0.00;
C1;C02;X18;;1;0.01958;11.03;0.0;22.40;70.86;-0.01;0.00;
C1;C03;X19;;1;0.02029;11.25;0.0;22.60;71.06;-0.01;0.00;
C1;C04;X20;;1;0.02101;11.46;0.0;22.70;71.25;-0.01;0.00;
C1;C05;X21;;1;0.02164;11.49;0.0;22.90;71.46;-0.01;0.00;
C1;C06;X22;;1;0.02229;12.03;0.0;23.00;71.59;-0.01;0.00;
C1;C07;X23;;1;0.02297;12.04;0.0;23.20;71.58;-0.01;0.00;
C1;C08;X24;;1;0.02366;11.74;0.0;23.40;71.64;-0.01;0.00;
C1;D08;X32;;1;0.02438;12.34;0.0;23.50;71.70;-0.01;0.00;
C1;D07;X31;;1;0.02516;12.22;0.0;23.70;71.73;-0.01;0.00;
C1;D06;X30;;1;0.02591;13.11;0.0;23.90;71.64;-0.01;0.00;
C1;D05;X29;;1;0.02658;11.55;0.0;24.00;71.64;-0.01;0.00;
C1;D04;X28;;1;0.02725;12.00;0.0;24.20;71.97;-0.01;0.00;
C1;D03;X27;;1;0.02798;12.13;0.0;24.30;71.96;-0.01;0.00;
C1;D02;X26;;1;0.02893;11.08;0.0;24.50;71.77;-0.01;0.00;
C1;D01;X25;;1;0.02966;10.16;0.0;24.70;71.65;-0.01;0.00;
C1;E01;X33;;1;0.03043;12.73;0.0;24.90;71.51;-0.01;0.00;
C1;E02;X34;;1;0.03106;12.31;0.0;25.00;71.38;-0.01;0.00;
C1;E03;X35;;1;0.03172;11.95;0.0;25.20;71.32;-0.01;0.00;
C1;E04;X36;;1;0.03244;11.84;0.0;25.30;71.18;-0.01;0.00;
C1;E05;X37;;1;0.03317;11.79;0.0;25.50;71.09;-0.01;0.00;
C1;E06;X38;;1;0.03400;12.24;0.0;25.60;70.93;-0.01;0.00;
C1;E07;X39;;1;0.03467;12.42;0.0;25.70;70.80;-0.01;0.00;
C1;E08;X40;;1;0.03534;11.21;0.0;25.90;70.67;-0.01;0.00;
C1;F08;X48;;1;0.03613;10.31;0.0;26.00;70.41;-0.01;0.00;
C1;F07;X47;;1;0.03679;11.57;0.0;26.20;70.35;-0.01;0.00;
C1;F06;X46;;1;0.03760;13.23;0.0;26.40;70.15;-0.01;0.00;
C1;F05;X45;;1;0.03830;11.59;0.0;26.50;70.10;-0.01;0.00;
C1;F04;X44;;1;0.03897;12.76;0.0;26.60;69.77;-0.01;0.00;
C1;F03;X43;;1;0.03973;12.36;0.0;26.70;69.63;-0.01;0.00;
C1;F02;X42;;1;0.04044;11.98;0.0;26.90;69.44;-0.01;0.00;
